model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.133,2.7705134379856915,0.26446077342632446,0.7234298353042469,0.5263238828102956,0.2631619414051478,0.36171491765212344,0.2849999999999966
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.134,3.072850311076109,0.28748011432846465,0.7836884982184539,0.5344927668295036,0.2672463834147518,0.39184424910922694,0.28699999999999903
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.135,2.7285023691253922,0.25187796493500175,0.7201533491702382,0.5303021250978504,0.2651510625489252,0.3600766745851191,0.30100000000000193
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.136,2.7203758574280688,0.25060146100604613,0.7141716790444972,0.5165407973746337,0.2582703986873168,0.3570858395222486,0.29400000000000404
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.137,2.9985041414955362,0.2857570307072366,0.7610281928862542,0.5027920295360163,0.25139601476800816,0.3805140964431271,0.3009999999999948
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.138,2.7843715807108382,0.25412350422328117,0.7084050611719727,0.5244454866352062,0.2622227433176031,0.35420253058598633,0.2750000000000057
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.139,3.1987583710492458,0.31022281861020445,0.8632549100535926,0.5628501940778143,0.28142509703890717,0.4316274550267963,0.2609999999999957
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.140,3.2910187350769258,0.3248930148591305,0.8426024222423674,0.5518123182448355,0.2759061591224177,0.4213012111211837,0.28699999999999903
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.141,2.644150008567818,0.2307288299833433,0.6883186891523325,0.5251852139742104,0.2625926069871052,0.34415934457616626,0.23400000000000176
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.142,3.25433553057031,0.3307180799820703,0.8537110139398222,0.5539242753607844,0.2769621376803922,0.4268555069699111,0.2289999999999992
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.143,3.0119494191161107,0.2804637870458763,0.749170960260485,0.5258842283587473,0.26294211417937363,0.3745854801302425,0.2330000000000041
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.144,3.189975327838797,0.3186251598212655,0.8468135057147215,0.5564152899726894,0.2782076449863447,0.42340675285736074,0.2259999999999991
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.145,2.881457898239001,0.2605620342390903,0.7633142531974143,0.5385602146920605,0.26928010734603025,0.38165712659870715,0.22999999999999687
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.146,3.1886471473545392,0.31916286425035284,0.8397293662214391,0.5460718064093204,0.2730359032046602,0.41986468311071956,0.23000000000000398
